Text,Star
買過很多家的飲料，也買過其他家的麻古，第一次遇到如此瞎的，晚上8點6分，兩個女店員當班，我點了「金萱雙Q」，結果貴店的店員只給「高山金萱」,0
打單打了一個寂寞，不照單裝飲料請問幹嘛打單，如果是雙Q中有東西缺少，應該要告知吧,0
感覺貴店不是第一次了，改善吧,0
"不要覺得自己叫麻古不會倒欸，好好教育店員吧，不要只會在顧客留言底下留請再來店消費給一次機會
服務
外帶
餐點：1
服務：1
氣氛：1",0
我尊重麻古把奶蓋改成封膜，但喝起來像是奶蓋，味道超級水是怎樣,0
"即使奶蓋和茶混在一起也不會是這個味道，太難喝了喝整個生氣
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：1
服務：1
氣氛：1",0
"葡萄果粒和以往喝到的味道差很多..店員杯子外緣沒有擦拭乾淨麻煩店員幫忙擦乾淨也是隨便亂擦擦完還是髒的感受很差
餐點：1
服務：1",0
12/27晚上值班的男店員，要不要看看自己泡的什麼東西,0
我記得我是點芝芝不是點水水吧,0
奶蓋摻水變奶泡，是老闆教你的還是你自作聰明,0
之前在這家喝過一次非常好喝，現在招牌都被男店員砸了，自求多福,0
"
服務給四顆星是因為今天點單的女店員態度很好，很可惜亂泡一通的男店員不給我再訪的機會，附近飲料店競爭很強，不擔心嗎",0
"
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200
餐點：1
服務：4
氣氛：1",0
"1/12 12:40值班高瘦男店員
當著客人的面加完奶蓋接著補加茶
我說：這樣茶不就跟奶蓋混在一起了嗎",0
"
男店員：奶蓋最後不都會混在一起喝嗎",0
"
混在一起還叫奶蓋",0
"
不想上班就不要出來丟臉
餐點：1
服務：1
氣氛：1",0
"飲料也少太多了，偷工減料觀感不好
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200
餐點：1
服務：5
氣氛：5",0
女店員態度極差，自己沒聽到還越講越大聲,0
"
無解
服務
外帶
餐點：1
服務：1
氣氛：1",0
"每一種飲料都甜到往生而且甜度不能調整
店員還說不會很甜",0
置顧客健康不顧很垃圾,0
我要珍珠，給我波霸幹嘛，櫃檯都問我要大顆還小顆，問心酸的嗎,0
"金萱+珍珠這麼簡單的飲料還可以做錯我的天
餐點：2
服務：2
氣氛：2",0
喜歡它們的葡萄柚果粒茶，裡面還可以加酸梅很好喝,0
"
店家現在不會主動問要不要酸梅了
一杯$70忘了加酸梅很桑心
推薦3分糖微冰 …",0
8/23 晚上8點，取餐時遇到了一個態度很差的店員,0
"

事情是這樣的：當時我跟店員說我剛電話訂的",0
結果櫃檯找了一下訂單後問我：「你是電話訂購還是線上訂購,0
」我才發現自己講錯了，就跟店員說「啊..線上訂的」,0
結果那位店員直接給我看臉色，這真的很失禮,0
我只是講錯了取餐方式，難道這有什麼大不了的嗎,0
這讓我感到非常不滿，我也不客氣地瞪了回去,0
希望貴公司能夠好好訓練員工後再讓他們出來做櫃檯，並提醒他們要保持應有的服務態度,0
"
服務
外帶
平均每人消費金額
$1-200
餐點：5
服務：1
氣氛：3",0
